seq;timestamp_ms;acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z
1;0;-5.600818;-0.121057;8.020817;0.026942;-0.003870;-0.002930
2;10;-5.589435;-0.046726;8.022511;0.025454;-0.003138;-0.002504
3;20;-5.581021;-0.112187;8.035437;0.023290;-0.003657;0.001248
4;30;-5.614970;-0.153913;8.013811;0.028358;-0.007705;-0.004912
5;40;-5.601463;-0.169814;8.004082;0.033591;-0.018154;-0.002505
6;50;-5.631440;-0.153798;8.001689;0.041049;-0.024982;-0.002280
7;60;-5.625730;-0.165862;7.920432;0.046549;-0.037908;-0.003090
8;70;-5.607911;-0.123587;7.930110;0.050281;-0.028753;-0.006463
9;80;-5.612665;-0.061042;7.877051;0.035629;-0.017579;-0.010131
10;90;-5.613219;-0.051292;7.919327;0.024255;-0.008052;-0.002958
11;100;-5.642051;-0.062735;7.963922;0.013053;-0.000946;-0.002910
12;110;-5.635226;-0.038945;7.988552;0.004081;0.000344;-0.001939
13;120;-5.643904;-0.054764;8.005259;-0.007222;0.007510;-0.005791
14;130;-5.674193;-0.133006;7.989914;-0.013048;-0.008488;0.006026
15;140;-5.659809;-0.169702;8.069632;-0.000128;-0.015643;-0.000003
16;150;-5.603153;-0.128171;8.065027;0.015117;-0.019240;-0.004326
17;160;-5.633566;-0.114070;8.062306;0.015147;-0.012971;-0.005104
18;170;-5.643311;-0.103021;8.032073;0.011233;-0.015737;-0.010283
19;180;-5.614258;-0.081927;8.030265;0.014675;-0.019803;-0.006554
20;190;-5.670335;-0.096319;7.989151;0.018245;-0.023127;-0.012281
21;200;-5.611838;-0.062220;7.943185;0.016155;-0.020535;-0.006970
22;210;-5.633953;-0.032815;7.923517;0.012174;-0.011505;-0.004255
23;220;-5.658415;-0.078206;7.974771;0.020092;-0.002065;-0.005697
24;230;-5.699316;-0.070921;8.030129;0.028060;-0.014652;0.001452
25;240;-5.650794;-0.042868;8.042527;0.030589;-0.026114;0.001508
26;250;-5.581186;-0.017832;8.027663;0.021247;-0.022284;0.001807
27;260;-5.615983;-0.052298;8.048324;0.012076;-0.005973;0.004425
28;270;-5.654049;-0.144071;8.050584;0.014159;-0.008569;-0.000880
29;280;-5.635054;-0.129766;8.107037;0.018277;-0.020819;0.002656
30;290;-5.562676;-0.121207;8.008966;0.020250;-0.023361;-0.006543
31;300;-5.568080;-0.143178;7.985464;0.026910;-0.012514;-0.013137
32;310;-5.586062;-0.063874;7.942244;0.028908;-0.019003;-0.006634
33;320;-5.606449;-0.123597;7.911391;0.042647;-0.021870;-0.010527
34;330;-5.578928;-0.009905;7.920800;0.035264;-0.011939;-0.009215
35;340;-5.656836;0.061805;7.876472;0.019116;-0.006314;-0.011703
36;350;-5.700746;0.010673;7.913673;0.001264;-0.000629;-0.008212
37;360;-5.688352;-0.007838;7.903194;0.001000;0.001859;-0.004997
38;370;-5.669263;-0.002299;7.917089;0.012064;0.003463;0.001289
39;380;-5.655788;0.045483;7.965897;0.007767;0.002450;0.008792
40;390;-5.624253;0.033344;7.969352;0.002212;0.002841;0.011153
41;400;-5.596759;-0.028651;7.996497;-0.011776;-0.000456;0.008052
42;410;-5.588341;-0.096276;8.009745;-0.011296;-0.003048;0.012631
43;420;-5.619521;-0.165753;8.036719;-0.003144;-0.011793;0.011895
44;430;-5.559423;-0.157678;8.037888;0.007221;-0.007497;0.005810
45;440;-5.543909;-0.118149;8.045607;0.007145;-0.001177;0.001116
46;450;-5.578488;-0.161443;8.024036;0.008217;0.003790;-0.002333
47;460;-5.639421;-0.077659;8.034608;0.008588;0.001249;-0.001651
48;470;-5.607688;-0.090269;8.038213;0.007036;-0.001126;-0.002781
49;480;-5.607679;-0.089988;8.038223;0.004406;0.000960;-0.003607
50;490;-5.580416;-0.069471;8.035005;0.000700;0.007506;-0.004131
51;500;-5.653957;-0.123716;7.985086;0.000738;0.004347;-0.001783
52;510;-5.598721;-0.165357;8.009368;0.002117;-0.005762;-0.002953
53;520;-5.602490;-0.131621;8.003039;0.003669;-0.003387;-0.001823
54;530;-5.629723;-0.152297;8.006277;0.000083;-0.005546;-0.008660
55;540;-5.608641;-0.155765;7.979046;-0.002213;-0.002842;-0.011152
56;550;-5.571053;-0.138459;8.048906;-0.004875;-0.007024;-0.011179
57;560;-5.569120;-0.147048;8.007739;0.004155;-0.005205;-0.010600
58;570;-5.593698;-0.110917;8.028826;0.004115;-0.002045;-0.012947
59;580;-5.606120;-0.093313;8.039273;0.002483;0.001897;-0.018770
60;590;-5.648826;-0.070649;8.004641;0.001524;-0.003120;-0.011425
61;600;-5.616638;-0.084694;8.008539;-0.005429;-0.007544;-0.017301
62;610;-5.623230;-0.109551;7.984224;-0.009402;0.001489;-0.014611
63;620;-5.590213;-0.132361;7.946168;-0.014291;0.003117;-0.015581
64;630;-5.592514;-0.126442;7.987034;-0.012021;0.019268;-0.019379
65;640;-5.612250;-0.141302;7.930126;-0.004117;0.028712;-0.020840
66;650;-5.618780;-0.108931;7.921875;0.001170;0.030813;-0.019981
67;660;-5.608263;-0.063431;7.968659;-0.005754;0.047574;-0.017242
