seq;timestamp_ms;rot_xx;rot_xy;rot_xz;rot_yx;rot_yy;rot_yz;rot_zx;rot_zy;rot_zz
8;140;0.027476;-0.807509;-0.589215;0.998265;0.052869;-0.025906;0.052071;-0.587481;0.807561
9;160;0.027878;-0.807602;-0.589068;0.998274;0.052971;-0.025378;0.051699;-0.587344;0.807685
10;180;0.027445;-0.807456;-0.589289;0.998327;0.052149;-0.02496;0.050885;-0.587618;0.807537
11;200;0.027559;-0.807283;-0.589521;0.998332;0.052155;-0.024751;0.050728;-0.587856;0.807374
12;220;0.027723;-0.807344;-0.58943;0.998327;0.052291;-0.024669;0.050738;-0.58776;0.807443
13;240;0.027717;-0.807405;-0.589347;0.998311;0.052472;-0.024936;0.051057;-0.58766;0.807495
14;260;0.028136;-0.807549;-0.589129;0.998258;0.053275;-0.02535;0.051858;-0.587389;0.807641
15;280;0.02864;-0.807461;-0.589225;0.998196;0.054218;-0.025781;0.052763;-0.587424;0.807558
16;300;0.028853;-0.807044;-0.589786;0.998201;0.054281;-0.025443;0.052548;-0.587991;0.807159
17;320;0.028903;-0.807107;-0.589697;0.998203;0.054284;-0.025372;0.052489;-0.587905;0.807226
18;340;0.028938;-0.807244;-0.589507;0.998199;0.054341;-0.025412;0.052548;-0.58771;0.807363
19;360;0.029074;-0.807571;-0.589054;0.998192;0.054472;-0.025411;0.052608;-0.58725;0.807694
20;380;0.029198;-0.808013;-0.588441;0.998196;0.054464;-0.025257;0.052457;-0.586642;0.808146
21;400;0.029292;-0.808212;-0.588163;0.998201;0.054446;-0.025104;0.052312;-0.586369;0.808353
22;420;0.02933;-0.808148;-0.588248;0.998205;0.054424;-0.024999;0.052218;-0.586459;0.808294
23;440;0.029315;-0.807995;-0.588459;0.99821;0.054366;-0.02492;0.052127;-0.586675;0.808143
24;460;0.029432;-0.80776;-0.588777;0.998213;0.054396;-0.02473;0.052003;-0.586997;0.807917
25;480;0.029449;-0.807551;-0.589061;0.998219;0.054343;-0.024595;0.051873;-0.587288;0.807714
26;500;0.029458;-0.807351;-0.589336;0.998219;0.054364;-0.024579;0.051883;-0.587562;0.807514
27;520;0.029424;-0.807181;-0.58957;0.998218;0.054357;-0.024602;0.051906;-0.587795;0.807343
28;540;0.029418;-0.807069;-0.589724;0.99821;0.054453;-0.024726;0.052067;-0.587941;0.807226
29;560;0.029303;-0.806959;-0.58988;0.998198;0.054535;-0.025017;0.052357;-0.588085;0.807103
30;580;0.029164;-0.806863;-0.590018;0.998189;0.054583;-0.025305;0.052623;-0.588211;0.806993
31;600;0.028986;-0.806897;-0.58998;0.998178;0.05461;-0.025649;0.052915;-0.588162;0.80701
32;620;0.028866;-0.806646;-0.59033;0.998163;0.054731;-0.025978;0.053264;-0.588495;0.806744
33;640;0.028773;-0.806016;-0.591194;0.998143;0.054937;-0.026319;0.053692;-0.589339;0.8061
34;660;0.028775;-0.805234;-0.592259;0.998113;0.055298;-0.02669;0.054242;-0.590374;0.805305
35;680;0.028817;-0.80471;-0.592968;0.99808;0.0557;-0.027085;0.054824;-0.591049;0.804771
36;700;0.029071;-0.80433;-0.593472;0.99805;0.056162;-0.027226;0.055229;-0.591523;0.804394
37;720;0.029362;-0.80395;-0.593972;0.998043;0.056401;-0.027003;0.05521;-0.592017;0.804032
38;740;0.029495;-0.803851;-0.594099;0.998036;0.056542;-0.026956;0.05526;-0.592137;0.80394
39;760;0.02968;-0.803887;-0.594041;0.998023;0.056771;-0.026962;0.055398;-0.592066;0.803983
40;780;0.029735;-0.803966;-0.593932;0.998018;0.05685;-0.026989;0.055463;-0.591952;0.804063
41;800;0.029635;-0.803935;-0.593978;0.998009;0.056893;-0.02721;0.055668;-0.59199;0.804021
42;820;0.029487;-0.804401;-0.593354;0.997987;0.057032;-0.027722;0.05614;-0.591343;0.804464
