framenumber;pos_x;pos_y;cov_xx;cov_xy;cov_yy;landmark_id
1;-0.249545;-3.10353;0.0017211;0.000162376;0.00376213;6
1;0.398051;-3.05375;0.00172804;-0.000203995;0.00366349;1
1;-0.660749;-2.11665;0.00170519;0.000161219;0.00231779;2
1;0.508728;-2.08611;0.00168004;-0.000104717;0.00228035;3
1;1.17968;-1.72129;0.0017465;-0.00019293;0.00205644;4
1;-0.782228;-1.24079;0.00166334;7.09189e-05;0.00181023;5
2;0.254529;-3.36067;0.00173244;-0.000161993;0.00442829;7
2;-0.411773;-2.91275;0.00172793;0.000217074;0.0033782;6
2;0.229058;-2.89637;0.00170166;-9.43628e-05;0.00331787;1
2;-0.653729;-2.81987;0.00176268;0.00031543;0.00324136;8
2;0.401512;-1.94699;0.0016651;-6.88793e-05;0.00216487;3
2;-0.775408;-1.89416;0.00170448;0.00015146;0.00214528;2
2;1.07734;-1.60889;0.00171785;-0.000151597;0.00198384;4
2;-0.828533;-1.00547;0.00165462;5.51234e-05;0.00174181;5
3;0.0658033;-3.21052;0.00171245;-2.226e-05;0.00400833;7
3;0.0619721;-2.72595;0.00168611;-1.23143e-05;0.00301153;1
3;-0.591105;-2.70996;0.00174074;0.00025734;0.00304297;6
3;-0.821316;-2.62357;0.00177988;0.000334674;0.00294158;8
3;0.291976;-1.78932;0.0016532;-4.0242e-05;0.00205618;3
3;-0.872748;-1.66762;0.0017005;0.000134499;0.00200431;2
3;1.0145;-1.50383;0.00170002;-0.000124434;0.0019266;4
4;-0.237414;-3.03902;0.00171577;0.000146452;0.00361563;7
4;-0.190898;-2.56734;0.00168526;7.6173e-05;0.00278726;1
4;-0.836525;-2.497;0.00176967;0.000303191;0.00276166;6
4;-1.06674;-2.3688;0.00181083;0.000351401;0.00262815;8
4;0.134443;-1.6745;0.00164518;-1.38883e-05;0.00198831;3
4;-1.02063;-1.43795;0.00170212;0.000123208;0.0018937;2
4;0.869698;-1.44969;0.00167905;-9.64445e-05;0.00189604;4
5;-0.0917988;-2.45215;0.00167536;3.69392e-05;0.0026355;1
5;-0.754798;-2.38293;0.00174179;0.000243156;0.0026056;6
5;0.187597;-1.52857;0.00164144;-1.77519e-05;0.00191666;3
5;-0.961492;-1.32322;0.00168601;9.97249e-05;0.00184415;2
5;0.928391;-1.28162;0.00167456;-8.49282e-05;0.00182985;4
6;-0.0313024;-2.80547;0.00169069;2.64594e-05;0.00314176;7
6;-0.0110417;-2.32259;0.0016682;1.08835e-05;0.00248812;1
6;-0.685385;-2.27658;0.00172087;0.000197394;0.00247751;6
6;-0.926524;-2.16073;0.00175341;0.000244184;0.00238305;8
6;0.254251;-1.36168;0.00163778;-2.07707e-05;0.00184801;3
6;-0.916873;-1.20705;0.00167348;8.13279e-05;0.00180151;2
6;0.990225;-1.08235;0.00166823;-7.08637e-05;0.00176672;4
7;0.124987;-2.62374;0.00168251;-3.37164e-05;0.00286081;7
7;-0.537603;-2.14233;0.00169178;0.000133397;0.0023321;6
7;0.129463;-2.14487;0.0016619;-2.20288e-05;0.00231663;1
7;-0.76909;-2.03529;0.00171448;0.000174479;0.00225516;8
7;0.343143;-1.19189;0.00163504;-2.36339e-05;0.00179061;3
7;-0.828363;-1.08706;0.00165882;6.16997e-05;0.00176339;2
7;1.07137;-0.881884;0.00166324;-5.89665e-05;0.00171871;4
8;0.128047;-2.50256;0.00167697;-3.09821e-05;0.00269823;7
8;-0.540028;-1.9772;0.00168218;0.000112526;0.00219348;6
8;0.140374;-1.98306;0.00165594;-2.06484e-05;0.00218479;1
8;0.380151;-1.01712;0.00163106;-2.10057e-05;0.00174228;3
8;-0.812447;-0.890598;0.00164797;4.57009e-05;0.00171527;2
9;0.210064;-2.30429;0.00167086;-4.72688e-05;0.00247207;7
9;-0.474861;-1.80059;0.00166717;8.12456e-05;0.00206748;6
9;0.202732;-1.79027;0.0016504;-2.63153e-05;0.0020552;1
10;-0.411539;-3.504;0.00177514;0.00035954;0.00489242;9
10;0.217134;-2.12633;0.00166358;-4.09803e-05;0.0023021;7
10;-0.455848;-1.61351;0.00165728;6.29804e-05;0.0019606;6
10;0.216082;-1.61931;0.00164493;-2.33716e-05;0.00196043;1
11;-0.276168;-3.34891;0.00174096;0.000219924;0.0044;9
11;0.306379;-1.94846;0.00166001;-5.06491e-05;0.00216274;7
11;-0.507665;-1.78325;0.00166887;8.53238e-05;0.00205778;10
11;-0.403822;-1.45057;0.00164783;4.59829e-05;0.00188397;6
11;0.287507;-1.44145;0.00164108;-2.63951e-05;0.0018798;1
12;-0.0170549;-3.24364;0.00171471;3.19562e-05;0.0040942;9
12;0.453079;-1.75567;0.00165991;-6.40247e-05;0.00204009;7
12;-0.37878;-1.67337;0.00165527;5.61137e-05;0.00199044;10
12;-0.289992;-1.33086;0.00163921;2.8847e-05;0.00183603;6
12;0.383735;-1.2507;0.00163806;-2.89634e-05;0.00180978;1
13;0.0431151;-3.10871;0.00170626;-7.0124e-06;0.00375768;9
13;0.487382;-1.57247;0.00165426;-5.64051e-05;0.001942;7
