framenumber;odom_x;odom_y;odom_phi;cov_xx;cov_xy;cov_yy;cov_xphi;cov_yphi;cov_phiphi
1;0.00088;-0.15647;0.01153;0.000016397281;-0.000000002137;0.000014026487;0.000021731727;-0.000000042656;0.000261252446
2;-0.00470;-0.18707;0.06820;0.000019834605;-0.000000084074;0.000016337711;0.000028153298;-0.000000708950;0.000304450153
3;-0.00460;-0.18630;0.06608;0.000019825477;-0.000000051551;0.000016250064;0.000028436344;-0.000000490011;0.000302833823
4;-0.01394;-0.13259;0.08844;0.000013870332;-0.000000111550;0.000012465684;0.000015862517;-0.000001098735;0.000232147433
5;-0.03077;-0.15348;-0.03310;0.000015117136;-0.000000428042;0.000013303408;0.000018806066;-0.000004317347;0.000246141137
6;-0.02191;-0.17360;-0.03746;0.000017501220;-0.000000298340;0.000014800938;0.000023676736;-0.000002370500;0.000275223235
7;-0.03834;-0.16420;-0.04064;0.000016805565;-0.000000655386;0.000014520598;0.000022261904;-0.000006033216;0.000267357950
8;-0.03243;-0.19876;0.00673;0.000020399608;-0.000000580875;0.000016470633;0.000030312631;-0.000004180392;0.000305381749
9;-0.03115;-0.18555;-0.01892;0.000018726126;-0.000000597455;0.000015556086;0.000026647687;-0.000004834874;0.000287887281
10;-0.00516;-0.19484;-0.00374;0.000019382532;-0.000000057514;0.000015693565;0.000028430474;-0.000000398391;0.000292465091
11;-0.00466;-0.17981;-0.05356;0.000018442746;-0.000000096837;0.000015466193;0.000025195199;-0.000000865258;0.000288186122
12;-0.00596;-0.17579;-0.07339;0.000018577686;-0.000000110428;0.000015544092;0.000025788907;-0.000000918818;0.000289622555
13;0.00608;-0.19003;-0.01895;0.000019152537;0.000000085474;0.000015605775;0.000027875308;0.000000550007;0.000290802516
14;0.00412;-0.15827;0.00276;0.000014721157;0.000000058290;0.000012751788;0.000018719136;0.000000578899;0.000237624610
15;0.01052;-0.16024;0.02647;0.000015491809;0.000000142752;0.000013386109;0.000019883569;0.000001338252;0.000249299437
16;0.00187;-0.15823;0.00650;0.000014812254;0.000000017741;0.000012809039;0.000018947652;0.000000157050;0.000238721002
17;0.00063;-0.16059;0.01852;0.000015294531;0.000000011510;0.000013224450;0.000019454901;0.000000125481;0.000246464826
18;0.00130;-0.16682;0.04295;0.000016664496;0.000000019277;0.000014205642;0.000022106373;0.000000152860;0.000264749767
19;-0.01184;-0.16531;0.03049;0.000016218303;-0.000000179959;0.000013883011;0.000021360009;-0.000001645533;0.000258482528
20;-0.01520;-0.16274;0.02326;0.000015778511;-0.000000201692;0.000013560043;0.000020553273;-0.000001811671;0.000252381007
21;-0.00136;-0.16560;0.03930;0.000016402433;0.000000015079;0.000014042368;0.000021470297;0.000000230493;0.000261703428
22;0.00551;-0.16492;0.06939;0.000017017512;0.000000103986;0.000014596224;0.000022202761;0.000001023452;0.000271946439
23;0.00922;-0.16292;0.09323;0.000017318296;0.000000175734;0.000014942683;0.000022212589;0.000001766023;0.000278239650
